ID;type;length;Replicate;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18
sll1834-3UTR(Kopf);feature;102;3;0;0;0.5;0;0;0;2;0;0;0.5;0;0;0;0;0;0
sll1834-5UTR(Kopf);feature;26;3;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0
sll1835;feature;798;3;0;0;1;1;1;6;2.5;3;1;14.5;11;10;7;2;1;0
sll1835-3UTR(Kopf);feature;520;3;0;0;3;1;0;0;6;11;2;1.5;8;2;0;0;0;0
sll1835-5UTR(Kopf);feature;23;3;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0
sll1837;feature;438;3;0;0;0;0;3;12;66.83;63.33;13.67;14.5;8.83;12;23.5;8.67;4;0
sll1837-3UTR(Kopf);feature;693;3;0;0;5;0;0;13;54.83;46.33;4.67;25;29.33;16;32.5;14.17;6;0
sll1837-5UTR(Kopf);feature;29;3;0;0;0;0;1;0;3.5;8;1;1;0.5;2;0.5;1;0;0
sll1841;feature;1302;3;0;2;2;2;4;5;92;54;17;17;26;24.5;40.5;21;4;4
sll1841-3UTR(Kopf);feature;71;3;0;0;0;0;0;1;7;7;1;2;1;3.5;3.5;0;0;0
sll1841-5UTR(Kopf);feature;68;3;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
sll1844-as2;feature;203;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
sll1845;feature;480;3;0;0;3.5;2;0;0;31.5;17.5;0;3;2;4;4;2;2;0
sll1845-3UTR(Kopf);feature;14;3;0;0;1.5;0;0;0;0;0.5;0;0;1;0;0;0;0;0
sll1845-5UTR(Kopf);feature;14;3;0;0;1;0;0;0;0.5;1;0;1;0;0;0;0;0;0
sll1848;feature;678;3;0;0;1;0;0;3;21.5;8;5;6;3;3;3;3;1;0
sll1848-5UTR(Kopf);feature;25;3;0;0;0;0;0;0;1.5;0;0;0;1;0;1;0;0;0
sll1849;feature;636;3;0;0;4.28;1;0;1;7;7.18;2.18;9.41;3.35;0.06;1;0;0;0
sll1851;feature;387;3;0;0;3;0;0;3;2;1;0;1;2;0;0;0;0;0
sll1851-as;feature;115;3;0;0;0;0;0;0;0;0;0.5;0;0.5;0;1;0;0;0
sll1852;feature;450;3;0;0;0;1;2;2;17;4;4.5;11.5;0;2;3;0.5;0;0
sll1852-5UTR(Kopf);feature;44;3;0;0;0;0;0;0;3;0;0.5;0;0;0;0.5;0.5;0;0
sll1853;feature;465;3;0;0;2;0;2;3;8;4;4;2.5;8;6;5;1;4;0
sll1854;feature;798;3;0;0;1;2;0;0;6;1;0;5;7;1;4.5;0;0;0
sll1858;feature;1884;3;0;0;7;1;0;12;43.5;40;11.5;22.5;23.5;15;8;15;0;0
sll1858-3UTR(Kopf);feature;135;3;0;0;0;0;0;0;1;1;0;3;0;0.5;0;0.5;0;0
